Classification,Business_Name,Title,Address,Suburb,Postcode,State,Country,Phone Number,Store Type,Year Opened,Organisation,GLA
Pharmacy,All Pharmacy,Priceline Pharmacy Amaroo,Pioneer Street Amaroo ACT 2914,Amaroo,4814,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Wanniassa,12 Sangster Place Wanniassa ACT 2903,Wanniassa,2539,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse Queanbeyan,6 Bungendore Road Queanbeyan NSW 2620,Queanbeyan East,2620,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,Blooms The Chemist - Karabar,34 Queenbar Road Karabar NSW 2620,Karabar,2620,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,TERRYWHITE CHEMMART KAMBAH,"UNIT 1, 9 JENKE CIRCUITKAMBAH, ACT,",Canberra,2902,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Erindale Pharmacy,Comrie Street Wanniassa ACT 2903,Wanniassa,2250,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Chisholm,42 Halley Street Chisholm ACT 2905,Chisholm,2615,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Gowrie Discount Pharmacy,Jefferies Street Gowrie ACT 2904,Gowrie,2904,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Anketell Street Chemist,175 Anketell Street Greenway ACT 2900,Canberra,3072,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Tuggeranong,148 Anketell Street Greenway ACT 2900,Canberra,2259,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Discount Drug Store Tuggeranong,17 Anketell Street Greenway ACT 2900,Canberra,4007,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Tuggeranong Square,341 Reed Street Greenway ACT 2900,Canberra,2900,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Isabella Plains,131 Ellerston Avenue Isabella Plains ACT 2905,Isabella Plains,2905,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Sutton Pharmacy Plus,"SHOP 1, 51 CAMP STREETSUTTON, NSW,",Sutton,2620,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Calwell,1 Webber Crescent Calwell ACT 2905,Calwell,2622,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Googong Discount Pharmacy,2 Gorman Drive Googong NSW 2620,Goodwood,2620,New South Wales,Australia,,,,,
Pharmacy,Amcal,Amcal+ Pharmacy Red Hill,Shop 4 Duyfken Pl Red Hill 2603,Red Hill,2603,Australian Capital Territory,Australia,,,,,
Pharmacy,Amcal,Amcal+ Pharmacy Belconnen Mall,"Shop 1, Level 2/20 Benjamin Way, Belconnen ACT 2617",Belconnen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,Amcal,Amcal Pharmacy Colbee Court,Amcal Pharmacy Colbee Court Australia,Phillip,2606,Australian Capital Territory,Australia,,,,,
Pharmacy,Blooms The Chemist,QUEANBEYAN,"SHOP 2-3, 183 CRAWFORD ST",Queanbeyan,2620,New South Wales,Australia,,,,,
Pharmacy,Blooms The Chemist,KARABAR,"SHOP 6-8, KARABAR SHOPPING MALL, CNR SOUTHBAR RD & COOMA RD",Karabar,2620,New South Wales,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist O'Connor,Ngunnawal Country O'Connor Shopping Centre Sargood Street O'Connor ACT 2602,O'Connor,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Lyneham,Ngunnawal Country 76 Wattle Street Lyneham ACT 2602,Lyneham,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Dickson,Ngunnawal Country 2/6 Dickson Place Dickson ACT 2602,Dickson,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Kingston,Ngunnawal Country 62 Jardine Street Green Square Kingston ACT 2604,Kingston,2604,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Watson Pharmacy,"5 Watson Place, Watson, ACT, Australia",Watson,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,"Capital Chemist University of Canberra, Bruce","Ngunnawal Country Shop 3,Building 28 (The Health Hub) Ochre Health Medical Centre cnr Allawoona St & Ginninderra Dve Bruce ACT 2617",Bruce,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Curtin,Ngunnawal Country 38B Curtin Place Curtin ACT 2605,Curtin,2605,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Hughes,Ngunnawal Country 22 Hughes Place Hughes ACT 2605,Hughes,2605,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Garran,Ngunnawal Country 3/2 Garran Place Garran ACT 2605,Garran,2605,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Crace,Ngunnawal Country Tenancy 10 Crace Central 56 Abena Avenue Crace ACT 2911,Crace,2911,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Palmerston,Ngunnawal Country Shop 6 Palmerston Shops 2 Tiptree Cres Palmerston ACT 2913,Palmerston,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Wright,"128 John Gorton Drive, Canberra, ACT, Australia",Coombs,2611,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Denman Prospect,"Ngunnawal Country Tenancy 24 Denman Village Shops 3 Felstead Vista, Denman Prospect ACT 2611",Denman Prospect,2611,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Southlands,Ngunnawal Country Shops 5-7 Mawson Place Southlands Shopping Centre Mawson ACT 2607,Mawson,2607,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Waramanga,Ngunnawal Country Waramanga Shopping Centre Shop 3 Damala Street & Waramanga Place Waramanga ACT 2611,Waramanga,2611,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Charnwood,Ngunnawal Country Shops 7&8 Charnwood Shopping Centre  Charnwood Pl Charnwood ACT 2615,Charnwood,2615,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Kambah,Ngunnawal Country Kambah Village Marconi Crescent & Primmer Ct Kambah ACT 2902,Kambah,2902,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Wanniassa,Ngunnawal Country Wanniassa Shopping Centre 12 Sangster Place Wanniassa ACT 2903,Wanniassa,2903,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Chisholm,Ngunnawal Country Chisholm Shopping Centre Shop 7 Halley Street Chisholm ACT 2905,Chisholm,2905,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Tuggeranong Square,Ngunnawal Country Shop 5A & 6A 1/341 Tuggeranong Square Cnr Reed (south) and Anketell Streets Greenway ACT 2900,Greenway,2900,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Isabella Plains,Ngunnawal Country Isabella Plains Shopping Centre 131 Ellerston Avenue Isabella Plains ACT 2905,Isabella Plains,2905,Australian Capital Territory,Australia,,,,,
Pharmacy,Capital Chemist,Capital Chemist Calwell,Ngunnawal Country Calwell Shopping Centre Shop 14 Were Street & Webber Cres Calwell ACT 2905,Calwell,2905,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Discount Centre,Chemist Discount Centre Belconnen,"Ginninderra Medical and Dental Centre, Belconnen, ACT, Australia",Belconnen,,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Majura Park SC,Shop 4 to 6 Majura Park SC 18 to 26 Spitfire Avenue,Majura,2609,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Belconnen Markets - Ibbott Lane,LG5 Belconnen Markets  2 Ibbott Lane,Belconnen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Fyshwick,Shop 1 and 2  17 Iron Knob St,Fyshwick,2609,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Woden,24 Corinna St,Phillip,2606,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Gungahlin Marketplace,"Shop MM2, The Marketplace Gungahlin Shopping Centre",Gungahlin,2912,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Gunghalin,"33 Hibberson Street, Gungahlin, ACT, Australia",Gungahlin,,Australian Capital Territory,Australia,,,,,
Pharmacy,Chemist Warehouse,Chemist Warehouse Queanbeyan,Sh 3 6 Bungendore Rd,Queanbeyan,2620,New South Wales,Australia,,,,,
Pharmacy,Cincotta Discount Chemist,Dickson,"10/36 Badham Street, DICKSON ACT 2602, Australia",Dickson,2211,Australian Capital Territory,Australia,,,,,
Pharmacy,Direct Chemist Outlet,Direct Chemist Outlet Macquarie,"85 Lachlan Street, Macquarie, ACT, Australia",Macquarie,2614,Australian Capital Territory,Australia,,,,,
Pharmacy,Discount Drug Store,Discount Drug Store Kaleen,"Shop 3, Gwydir Square, Kaleen ACT 2617",Kaleen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,Discount Drug Store,Discount Drug Store Hawker,"72-74 Hawker Place ACT, Hawker ACT 2614",Hawker,2614,Australian Capital Territory,Australia,,,,,
Pharmacy,Discount Drug Store,Discount Drug Store Franklin,"Shop 132, 51 Nullarbor Avenue, Franklin ACT 2913",Franklin,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,Discount Drug Store,Discount Drug Store Gold Creek,"Shop 3/46 Oâ€™Hanlon Place, Nicholls ACT 2913",Nicholls,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,Guardian Pharmacy,Guardian Pharmacy Belconnen,Shop 107-108 Westfield 20 Benjamin Way,Belconnen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,MediAdvice Pharmacy,NGUNNAWAL MediADVICE PHARMACY,"Ngunnawal Shopping Centre, , Shop 5, Wanganeen Avenue, Ngunnawal, ACT 2913",Ngunnawal,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,Pharmacy Locations,City Market Chemist | 154,"148 Bunda Street, City, ACT, Australia",City,2601,Australian Capital Territory,Australia,,,,Monash Campus Pharmacy,
Pharmacy,Pharmacy Locations,Develin's City Chemist | 1773,"3 Hobart Place, City, ACT, Australia",City,2601,Australian Capital Territory,Australia,,,,Colyton Pharmacy,
Pharmacy,Pharmacy Locations,Priceline Pharmacy Canberra Centre | 875,"106 Bunda Street, City, ACT, Australia",City,2601,Australian Capital Territory,Australia,,,,Priceline Pharmacy World Square,
Pharmacy,Pharmacy Locations,Chemist on Northbourne | 484,"7 Rudd Street, City, ACT, Australia",City,2601,Australian Capital Territory,Australia,,,,Ramsay Pharmacy John Flynn Private Hospital,
Pharmacy,Pharmacy Locations,University Pharmacy | 1094,"28 Bachelors Lane, Canberra, ACT, Australia",Acton,2601,Australian Capital Territory,Australia,,,,Vim & Co Pharmacy,
Pharmacy,Pharmacy Locations,Capital Chemist - O'Connor | 4057,"9 Sargood Street, O'Connor, ACT, Australia",O'Connor,2602,Australian Capital Territory,Australia,,,,Kingsbury Pharmacy,
Pharmacy,Pharmacy Locations,Campbell Pharmacy | 3166,"32 Blamey Place, Campbell, ACT, Australia",Campbell,2612,Australian Capital Territory,Australia,,,,Lindfield Pharmacy,
Pharmacy,Pharmacy Locations,TerryWhite Chemmart Compounding Pharmacy Ainslie | 2637,"11 Edgar Street, Ainslie, ACT, Australia",Ainslie,2602,Australian Capital Territory,Australia,,,,Star Pharmacy - Middle Park,
Pharmacy,Pharmacy Locations,Capital Chemist - Lyneham | 1970,"76 Wattle Street, Lyneham, ACT, Australia",Lyneham,2602,Australian Capital Territory,Australia,,,,Chemsave Kingston Pharmacy,
Pharmacy,Pharmacy Locations,Capital Chemist Dickson | 1633,"8 Dickson Place, Dickson, ACT, Australia",Dickson,2602,Australian Capital Territory,Australia,,,,Seaforth Pharmacy,
Pharmacy,Pharmacy Locations,| 2065,"36 Dickson Place, Dickson, ACT, Australia",Dickson,2602,Australian Capital Territory,Australia,,,,Balgownie Village Pharmacy,
Pharmacy,Pharmacy Locations,Capital Chemist Kingston  | 3758,"62 Jardine Street, Kingston, ACT, Australia",Kingston,2604,Australian Capital Territory,Australia,,,,Bladin St Pharmacy,
Pharmacy,Pharmacy Locations,Yarralumla Pharmacy | 2635,"45 Novar Street, Yarralumla, ACT, Australia",Yarralumla,2600,Australian Capital Territory,Australia,,,,Your Discount Chemist - Kurri Kurri,
Pharmacy,Pharmacy Locations,Deakin Pharmacy | 1653,"11 Duff Place, Deakin, ACT, Australia",Deakin,2600,Australian Capital Territory,Australia,,,,Meadowlands Road Chemist,
Pharmacy,Pharmacy Locations,Priceline Pharmacy - Manuka | 2678,"18 Captain Cook Crescent, Griffith, ACT, Australia",Griffith,2603,Australian Capital Territory,Australia,,,,Blooms The Chemist - Mayfield,
Pharmacy,Pharmacy Locations,Watson Pharmacy | 1430,"9 Watson Place, Watson, ACT, Australia",Watson,2602,Australian Capital Territory,Australia,,,,Morisset Main Street Pharmacy,
Pharmacy,Pharmacy Locations,"Dose Administration Aid, Post Office, Medication consultation | 1701","12 Barker Street, Griffith, ACT, Australia",Griffith,2603,Australian Capital Territory,Australia,,,,Amcal+ Night and Day Casuarina,
Pharmacy,Pharmacy Locations,Kaleen Max Value Chemist | 1897,"4 Gwydir Square, Kaleen, ACT, Australia",Kaleen,2617,Australian Capital Territory,Australia,,,,Chemist Warehouse - Joondalup,
Pharmacy,Pharmacy Locations,Retail Pharmacy | 577,"29 Catalina Drive, Canberra, ACT, Australia",Canberra Airport,2609,Australian Capital Territory,Australia,,,,Macquarie Discount Pharmacy,
Pharmacy,Pharmacy Locations,Narrabundah Pharmacy | 2680,"12 Iluka Street, Narrabundah, ACT, Australia",Narrabundah,2604,Australian Capital Territory,Australia,,,,Mallee Pharmacy,
Pharmacy,Pharmacy Locations,Fyshwick Pharmacy | 745,"10 Gladstone Street, Symonston, ACT, Australia",Fyshwick,2609,Australian Capital Territory,Australia,,,,Chemist Warehouse Parabanks SC Salisbury,
Pharmacy,Pharmacy Locations,Optimal Pharmacy Plus Jamison | 475,"15 Jamison Centre, Macquarie, ACT, Australia",Macquarie,2614,Australian Capital Territory,Australia,,,,Capital Chemist - Isabella Plains,
Pharmacy,Pharmacy Locations,Capital Chemist - University of Canberra | 722,"5 Allawoona Street, Bruce, ACT, Australia",Bruce,2617,Australian Capital Territory,Australia,,,,Pharmacy 777 Clarkson,
Pharmacy,Pharmacy Locations,Capital Chemist - Curtin | 3358,"38 Curtin Place, Curtin, ACT, Australia",Curtin,2605,Australian Capital Territory,Australia,,,,Steve's Pharmacy,
