"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Description","Organisation","GLA","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Northern Suburbs Medical Service","278 Invermay Road, Mowbray TAS 7248","Mowbray","7248","Tasmania","Australia","77.45","","","","Small","3","(03) 6336 0555"
"Clinical Services","All Medical Centres","Mowbray Medical Practice","Suite 3, 282 Invermay Road, Mowbray TAS 7248","Mowbray","7248","Tasmania","Australia","77.47","","","","Small","4","(03) 6326 7555"
"Clinical Services","All Medical Centres","Sheffield Medical Centre","1 Henry Street, Sheffield TAS 7306","Sheffield","7306","Tasmania","Australia","78.48","","","","Small","4","(03) 6491 1166"
"Clinical Services","All Medical Centres","Legana Medical Centre","Suite 1, 16 Freshwater Point Road, Legana TAS 7277","Legana","7277","Tasmania","Australia","78.84","","","","Small","1","(03) 6330 3044"
"Clinical Services","All Medical Centres","Sheffield","12 Duff Drive, Sheffield TAS 7306","Sheffield","7306","Tasmania","Australia","78.98","","","","Small","1","(03) 6491 2369"
"Clinical Services","All Medical Centres","Exeter Medical Centre","102 Main Road, Exeter TAS 7275","Exeter","7275","Tasmania","Australia","83.27","","","","Small","3","(03) 6394 4247"
"Clinical Services","All Medical Centres","Brighton Regional Doctors","209 Brighton Road, Brighton TAS 7030","Pontville","7030","Tasmania","Australia","86.49","","","","Small","2","(03) 6144 6550"
"Clinical Services","All Medical Centres","Brighton Doctors Surgery","1 Bedford Street, Brighton TAS 7030","Pontville","7030","Tasmania","Australia","86.52","","","","Small","1","(03) 6268 1077"
"Clinical Services","All Medical Centres","Derwent Valley Medical Centre","11 Burnett Street, New Norfolk TAS 7140","New Norfolk","7172","Tasmania","Australia","88.35","","","","Midsized","8","(03) 6261 1399"
"Clinical Services","All Medical Centres","Jordan River Health","9-11 Hurst Street, Bridgewater TAS 7030","Bridgewater","7030","Tasmania","Australia","90.0","","","","Large","12","(03) 6263 7349"
"Clinical Services","All Medical Centres","Latrobe Family Medical Practice","45B Gilbert Street, Latrobe TAS 7307","Latrobe","7307","Tasmania","Australia","91.81","","","","Large","15","(03) 6426 1141"
"Clinical Services","All Medical Centres","Beaconsfield Medical Service","146 Weld Street, Beaconsfield TAS 7270","Beaconsfield","7270","Tasmania","Australia","92.49","","","","Small","1","(03) 6383 1511"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Queenstown","60-64 Orr Street, Queenstown TAS 7467","Queenstown","7467","Tasmania","Australia","95.72","","","","Small","2","(03) 6495 1523"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Claremont","Shop 24-25 Claremont Plaza, 35 Main Road, Claremont TAS 7011","Claremont","7011","Tasmania","Australia","95.72","","","","Midsized","10","(03) 6249 1311"
"Clinical Services","All Medical Centres","Claremont Medical Centre","12 Box Hill Road, Claremont TAS 7011","Claremont","7011","Tasmania","Australia","95.73","","","","Small","1","(03) 6249 3093"
"Clinical Services","All Medical Centres","Lilydale Family Health Care","1977 Main Rd, Lilydale TAS 7268","Lilydale","7268","Tasmania","Australia","96.03","","","","Small","2","(03) 6388 9295"
"Clinical Services","All Medical Centres","Port Sorell Medical Centre","81 Club Drive, Shearwater TAS 7307","Shearwater","7307","Tasmania","Australia","97.57","","","","Small","3","(03) 6428 7720"
"Clinical Services","All Medical Centres","My Clinic Plus East","13 Stephen Street, East Devonport TAS 7310","East Devonport","7310","Tasmania","Australia","98.34","","","","Small","1","(03) 6406 5490"
"Clinical Services","All Medical Centres","East Devonport Medical Centre","13 Stephen Street, East Devonport TAS 7310","East Devonport","7310","Tasmania","Australia","98.36","","","","Midsized","5","(03) 6427 9111"
"Clinical Services","All Medical Centres","Valley Road Medical Centre","37 Valley Road, Devonport TAS 7310","Devonport","7270","Tasmania","Australia","98.5","","","","Midsized","6","(03) 6424 7598"
"Clinical Services","All Medical Centres","Devonport Family Medical Centre","8 Wenvoe Street, Devonport TAS 7310","Devonport","7310","Tasmania","Australia","98.55","","","","Large","12","(03) 6422 6200"
"Clinical Services","All Medical Centres","Don Medical Clinic","Shop 7, 48-54 Oldaker Street, Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.37","","","","Small","4","(03) 6441 5299"
"Clinical Services","All Medical Centres","The Tasmanian Skin Clinic","64 Oldaker Street, Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.39","","","","Small","3","(03) 6424 5003"
"Clinical Services","All Medical Centres","Tasmanian Skin Clinic","Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.39","","","","Small","1",""
"Clinical Services","All Medical Centres","Glenorchy Medical Centre","346 Main Road, Glenorchy TAS 7010","Glenorchy","7010","Tasmania","Australia","100.79","","","","Midsized","8","(03) 6274 0800"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Rosebery","1 Hospital Road, Rosebery TAS 7470","Rosebery","7470","Tasmania","Australia","101.01","","","","Small","1","(03) 6495 1613"
"Clinical Services","All Medical Centres","Amiens Clinic","254 Main Road, Derwent Park TAS 7009","Derwent Park","7009","Tasmania","Australia","101.44","","","","Midsized","8","(03) 6272 8869"
"Clinical Services","All Medical Centres","After Hours Doctors Surgery","252 Main Road, Derwent Park TAS 7009","Derwent Park","7009","Tasmania","Australia","101.47","","","","Small","2","(03) 6165 2361"
"Clinical Services","All Medical Centres","Healthology Medical Centre Risdon","32 Sugarloaf Road, Risdon Vale TAS 7016","Risdon Vale","7016","Tasmania","Australia","101.68","","","","Small","1","(03) 6146 3900"
"Clinical Services","All Medical Centres","Hopkins Street Medical Clinic","67 Hopkins Street, Moonah TAS 7009","Moonah","7009","Tasmania","Australia","102.7","","","","Large","11","(03) 6228 2200"
"Clinical Services","All Medical Centres","George Town Medical Centre","49 Anne Street, George Town TAS 7253","George Town","7253","Tasmania","Australia","103.14","","","","Midsized","7","(03) 6382 4333"
"Clinical Services","All Medical Centres","Moonah Health Centre","16 Main Road, Moonah TAS 7009","Moonah","7009","Tasmania","Australia","103.19","","","","Small","3","(03) 6228 5652"
"Clinical Services","All Medical Centres","Drug and Alcohol Services","Pharmacotherapy Clinic, Level 1, St Johns Avenue, New Town TAS 7008","New Town","7008","Tasmania","Australia","103.58","","","","Small","1","(03) 6166 0833"
"Clinical Services","All Medical Centres","ADHD Doctors Tasmania","New Town TAS 7008","New Town","7008","Tasmania","Australia","103.96","","","","Small","1","(03) 6145 7056"
"Clinical Services","All Medical Centres","New Town Skin Cancer Clinic","137 New Town Road, New Town TAS 7008","New Town","7008","Tasmania","Australia","104.42","","","","Large","13","(03) 6240 4820"
"Clinical Services","All Medical Centres","New Town","127 New Town Road, New Town TAS 7008","New Town","7008","Tasmania","Australia","104.47","","","","Small","1","(03) 6228 7285"
"Clinical Services","All Medical Centres","New Town Health Hub","127 C New Town Road, New Town TAS 7008","New Town","7008","Tasmania","Australia","104.48","","","","Small","1","(03) 6146 0490"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Augusta Road, Lenah Valley","120 Augusta Road, Lenah Valley TAS 7008","Lenah Valley","7008","Tasmania","Australia","104.61","","","","Midsized","7","(03) 6278 1744"
"Clinical Services","All Medical Centres","Lenah Valley Medical Centre","95 Augusta Road, Lenah Valley TAS 7008","Lenah Valley","7008","Tasmania","Australia","104.71","","","","Midsized","7","(03) 6228 0243"
"Clinical Services","All Medical Centres","Hobart Paediatric Group","59 Augusta Road, Lenah Valley TAS 7008","Lenah Valley","7018","Tasmania","Australia","104.95","","","","Small","1","(03) 6278 8600"
"Clinical Services","All Medical Centres","Centre for Neurosurgery","Marian House, 49 Augusta Road, Lenah Valley TAS 7008","Lenah Valley","7008","Tasmania","Australia","104.99","","","","Small","2","(03) 6228 3777"
"Clinical Services","All Medical Centres","Franklin Street Clinic","15 Franklin Street, Lindisfarne TAS 7015","Lindisfarne","7015","Tasmania","Australia","105.06","","","","Small","1","(03) 6243 0122"
"Clinical Services","All Medical Centres","The Lindisfarne Clinic","30 Lincoln Street, Lindisfarne TAS 7015","Lindisfarne","7015","Tasmania","Australia","105.06","","","","Large","17","(03) 6243 8611"
"Clinical Services","All Medical Centres","Stoke Street Family Medical Centre","3 Stoke Street, New Town TAS 7008","New Town","7008","Tasmania","Australia","105.16","","","","Midsized","9","(03) 6228 7841"
"Clinical Services","All Medical Centres","Tas Ortho","Calvary Consulting Suites, 438 Elizabeth Street, North Hobart TAS 7000","North Hobart","7000","Tasmania","Australia","105.81","","","","Small","2","(03) 6234 7511"
"Clinical Services","All Medical Centres","Newdegate Street Health Centre","107 Newdegate Street, West Hobart TAS 7000","West Hobart","7018","Tasmania","Australia","106.13","","","","Small","4","(03) 6231 4109"
"Clinical Services","All Medical Centres","Glebe","20 Shoobridge Street, Glebe TAS 7000","Glebe","7000","Tasmania","Australia","106.37","","","","Small","1","(03) 6234 9774"
"Clinical Services","All Medical Centres","Victoria Street Clinic","39 Victoria Street, Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","106.68","","","","Large","14","(03) 6425 2900"
"Clinical Services","All Medical Centres","West Hobart","156 Warwick Street, West Hobart TAS 7000","West Hobart","7000","Tasmania","Australia","106.88","","","","Small","1","(03) 6231 1313"
"Clinical Services","All Medical Centres","Australian Skin Cancer Clinics","200 Elizabeth Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","106.9","","","","Small","1","(03) 6281 4000"
"Clinical Services","All Medical Centres","Aboriginal Health Service","56 Patrick Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","106.92","","","","Small","1","(03) 6234 0700"
"Clinical Services","All Medical Centres","Patrick Street Clinic","6 Patrick Street, Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","107.02","","","","Large","17","(03) 6425 1611"
"Clinical Services","All Medical Centres","Your Hobart Doctor","71 Bathurst Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.2","","","","Large","11","1800 252 436"
"Clinical Services","All Medical Centres","Headspace Hobart","49 Liverpool Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.27","","","","Small","4","(03) 6231 2927"
"Clinical Services","All Medical Centres","Sanctum Medical Aesthetics","141 Bathurst Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.34","","","","Small","1","(03) 6223 8998"
"Clinical Services","All Medical Centres","General Practice Plus - Argyle Street","34 Argyle Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.43","","","","Small","3","(03) 6223 5533"
"Clinical Services","All Medical Centres","Rosny Doctors","7 Ross Avenue, Rosny Park TAS 7018","Rosny Park","7018","Tasmania","Australia","107.49","","","","Midsized","8","(03) 6244 1058"
"Clinical Services","All Medical Centres","Hobart","103/86 Murray Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.49","","","","Small","1","0438 883 581"
"Clinical Services","All Medical Centres","TasWomen by TasOGS","G floor, 25 Argyle Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.5","","","","Small","1","(03) 6214 3333"
"Clinical Services","All Medical Centres","Collins Street General Practice","Level 3, 117 Collins Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.57","","","","Midsized","7","(03) 6223 3355"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Hobart","Level 1, 242 Liverpool St, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.61","","","","Midsized","8","(03) 6223 1055"
"Clinical Services","All Medical Centres","Rosny Park Family Practice","10 Bayfield Street, Rosny Park TAS 7018","Rosny Park","7018","Tasmania","Australia","107.61","","","","Small","4","(03) 6244 7222"
"Clinical Services","All Medical Centres","Clarence GP Super Clinic","16-22 Bayfield Street, Rosny TAS 7018","Rosny Park","7018","Tasmania","Australia","107.67","","","","Midsized","7","(03) 6282 1400"
"Clinical Services","All Medical Centres","City Doctors and Travel Clinic","188 Collins Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.68","","","","Midsized","7","(03) 6231 3003"
"Clinical Services","All Medical Centres","Australian Family Medical","25 Davey Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.76","","","","Small","1","(03) 6221 6800"
"Clinical Services","All Medical Centres","Cannabis Doctors Tasmania","Telehealth Consultations Only, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.77","","","","Small","1","(03) 6153 3587"
"Clinical Services","All Medical Centres","Treasury Medical","32 Davey Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.78","","","","Small","1","(03) 6124 2727"
"Clinical Services","All Medical Centres","Hobart","174 Macquarie Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.79","","","","Small","1","(03) 6204 9596"
"Clinical Services","All Medical Centres","Cambridge Road Surgery","112 Cambridge Road, Bellerive TAS 7018","Bellerive","7018","Tasmania","Australia","107.92","","","","Midsized","5","(03) 6245 0777"
"Clinical Services","All Medical Centres","General Practice Plus - Mountain Retreat","430 Macquarie Street, South Hobart TAS 7004","South Hobart","7005","Tasmania","Australia","108.0","","","","Midsized","7","(03) 6223 5533"
"Clinical Services","All Medical Centres","Salamanca Medical Centre","5a Gladstone Street, Battery Point TAS 7004","Battery Point","7004","Tasmania","Australia","108.02","","","","Small","3","(03) 6223 8181"
"Clinical Services","All Medical Centres","Brilliant Being","268 Macquarie Street, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","108.03","","","","Small","2","(03) 6240 7690"
"Clinical Services","All Medical Centres","Gore Street Medical","2 Gore Street, South Hobart TAS 7004","South Hobart","7004","Tasmania","Australia","108.04","","","","Small","3","(03) 6224 6717"
"Clinical Services","All Medical Centres","General Practice Plus - Cascade Road","30A Cascade Road, South Hobart TAS 7004","South Hobart","7019","Tasmania","Australia","108.05","","","","Midsized","10","(03) 6223 5533"
"Clinical Services","All Medical Centres","Laserway on Davey","173 Davey Street Hobart, Hobart TAS 7000","Hobart","7000","Tasmania","Australia","108.07","","","","Small","2","(03) 6223 8981"
"Clinical Services","All Medical Centres","Macquarie Skin Cancer Clinic","322 Macquarie Street, Hobart TAS 7000","South Hobart","7004","Tasmania","Australia","108.09","","","","Small","2","(03) 6224 7123"
"Clinical Services","All Medical Centres","Hobart Occupational Medicine","201 Davey Street, South Hobart TAS 7004","South Hobart","7004","Tasmania","Australia","108.11","","","","Small","1","(03) 6224 0935"
"Clinical Services","All Medical Centres","O'Skin","7 Castray Esplanade, Battery Point TAS 7004","Battery Point","7004","Tasmania","Australia","108.19","","","","Small","1","(03) 6144 9291"
"Clinical Services","All Medical Centres","Hobart Skin Cancer Clinic","46a Cambridge Road, Bellerive TAS 7018","Bellerive","7018","Tasmania","Australia","108.3","","","","Midsized","6","(03) 6245 0861"
"Clinical Services","All Medical Centres","Battery Point Medical","53 Sandy Bay Road, Battery Point TAS 7004","Battery Point","7004","Tasmania","Australia","108.31","","","","Small","1","(03) 6105 0700"
"Clinical Services","All Medical Centres","Eastern Shore Doctors","48 Cambridge Road, Bellerive TAS 7018","Bellerive","7018","Tasmania","Australia","108.31","","","","Midsized","9","(03) 6282 1333"
"Clinical Services","All Medical Centres","Bellerive Health Hub","Level 3, 31-33 Cambridge Road, Bellerive TAS 7018","Bellerive","7018","Tasmania","Australia","108.35","","","","Small","3","(03) 6122 0150"
"Clinical Services","All Medical Centres","Sandy Bay Clinic","183 Sandy Bay Road, Sandy Bay TAS 7005","Battery Point","7005","Tasmania","Australia","108.66","","","","Small","2","(03) 6210 0500"
"Clinical Services","All Medical Centres","General Practice Plus - Gregory Street","18 Gregory Street, Sandy Bay TAS 7005","Battery Point","7019","Tasmania","Australia","108.73","","","","Midsized","6","(03) 6223 5533"
"Clinical Services","All Medical Centres","Sandy Bay Clinic","270 Sandy Bay Road, Sandy Bay TAS 7005","Battery Point","7019","Tasmania","Australia","108.93","","","","Midsized","9","(03) 6223 6822"
"Clinical Services","All Medical Centres","Sorell Doctors Surgery","31 Gordon Street, Sorell TAS 7172","Sorell","7172","Tasmania","Australia","109.12","","","","Small","2","(03) 6165 1595"
"Clinical Services","All Medical Centres","Sorell Family Practice","Shop 11, 12 Cole Street, Sorell TAS 7172","Sorell","7172","Tasmania","Australia","109.23","","","","Midsized","10","(03) 6265 2341"
"Clinical Services","All Medical Centres","Grosvenor Street General Practice","57 Grosvenor Street, Sandy Bay TAS 7005","Sandy Bay","7005","Tasmania","Australia","109.29","","","","Midsized","9","(03) 6224 1944"
"Clinical Services","All Medical Centres","Uni Doctors","Union Building, University of Tasmania, Churchill Avenue, Sandy Bay TAS 7005","Dynnyrne","7007","Tasmania","Australia","109.37","","","","Small","3","(03) 6226 2102"
"Clinical Services","All Medical Centres","Rainbow Care Clinic","150 Churchill Avenue, Sandy Bay TAS 7005","Mount Nelson","7007","Tasmania","Australia","109.72","","","","Small","1","(03) 6225 4890"
"Clinical Services","All Medical Centres","Churchill Avenue Medical Centre","150 Churchill Avenue, Sandy Bay TAS 7005","Mount Nelson","7007","Tasmania","Australia","109.72","","","","Midsized","5","(03) 6225 3858"
"Clinical Services","All Medical Centres","Health Change Integrative Medicine","272 Clarence Street, Howrah TAS 7018","Howrah","7018","Tasmania","Australia","109.97","","","","Small","1","(03) 6135 5805"
"Clinical Services","All Medical Centres","Mount Nelson Medical Centre","Unit 1, 10 Olinda Grove, Mount Nelson TAS 7007","Mount Nelson","7054","Tasmania","Australia","111.02","","","","Small","2","(03) 6144 6499"
"Clinical Services","All Medical Centres","Faulkner GP","315 Churchill Avenue, Sandy Bay TAS 7005","Sandy Bay","7005","Tasmania","Australia","111.36","","","","Small","1","0480 288 725"
"Clinical Services","All Medical Centres","Kingston","680 Summerleas Road, Kingston TAS 7050","Fern Tree","7054","Tasmania","Australia","111.46","","","","Small","1","(03) 6239 1572"
"Clinical Services","All Medical Centres","Lower Sandy Bay","3 Beach Road, Lower Sandy Bay TAS 7005","Sandy Bay","7005","Tasmania","Australia","111.55","","","","Small","1","(03) 6225 5155"
"Clinical Services","All Medical Centres","Long Beach Medical Centre","3 Beach Road, Sandy Bay TAS 7005","Sandy Bay","7005","Tasmania","Australia","111.55","","","","Small","2","(03) 6225 5155"
"Clinical Services","All Medical Centres","Glebe Hill Family Practice","45 Hance Road, Howrah TAS 7018","Howrah","7018","Tasmania","Australia","111.97","","","","Midsized","6","(03) 6169 0000"
"Clinical Services","All Medical Centres","Swansea General Practice","37 Wellington Street, Swansea TAS 7190","Swansea","7190","Tasmania","Australia","112.91","","","","Small","2","(03) 6257 8205"
"Clinical Services","All Medical Centres","Knopwood Medical Centre","Centre 46 South Arm Road, Rokeby TAS 7019","Rokeby","7019","Tasmania","Australia","114.22","","","","Small","3","(03) 6247 1019"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Huonville","85 Main Street, Huonville TAS 7109","Huonville-Ranelagh","7109","Tasmania","Australia","114.44","","","","Large","13","(03) 6264 2800"
"Clinical Services","All Medical Centres","Penguin General Practice","107 Main Street, Penguin TAS 7316","Penguin","7316","Tasmania","Australia","114.64","","","","Small","1","(03) 6437 2508"
"Clinical Services","All Medical Centres","Patrick Street Clinic","19 Ironcliffe Road, Penguin TAS 7316","Penguin","7316","Tasmania","Australia","114.72","","","","Small","4","(03) 6437 0955"
"Clinical Services","All Medical Centres","Huon Doctors Surgery","49 Main Street, Huonville TAS 7109","Huonville-Ranelagh","7109","Tasmania","Australia","114.72","","","","Small","4","(03) 6264 1666"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Zeehan","100 Main Street, Zeehan TAS 7469","Zeehan","7469","Tasmania","Australia","115.07","","","","Small","2","(03) 6450 0095"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Strahan","3 Bay Street, Strahan TAS 7468","Strahan","7120","Tasmania","Australia","115.89","","","","Small","2","(03) 6495 1617"
"Clinical Services","All Medical Centres","Kingborough Medical Centre","9-11 John Street, Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.0","","","","Large","20","(03) 6229 3434"
"Clinical Services","All Medical Centres","General Practice Plus - Kingston Plaza","Shop 12A, 20 Channel Highway, Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.03","","","","Midsized","5","(03) 6227 1533"
"Clinical Services","All Medical Centres","John Street Medical Centre","5 John Street, Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.05","","","","Large","15","(03) 6229 1987"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Scottsdale","2 Fosters Road, Scottsdale TAS 7260","Scottsdale","7260","Tasmania","Australia","117.86","","","","Small","2","(03) 6352 2522"
"Clinical Services","All Medical Centres","Dodges Ferry","Shop 1, 52 Carlton Beach Road, Dodges Ferry TAS 7173","Dodges Ferry","7173","Tasmania","Australia","118.34","","","","Small","1","(03) 6265 8700"
"Clinical Services","All Medical Centres","Dr Lad's Surgery","Shop 14-15, Algona Road, Blackmans Bay TAS 7052","Blackmans Bay","7109","Tasmania","Australia","118.4","","","","Small","1","(03) 6229 4111"
"Clinical Services","All Medical Centres","Dr Lad's Surgery","Blackmans Bay Shopping Centre, Shop 14-15, Algona Road, Blackmans Bay TAS 7052","Blackmans Bay","7109","Tasmania","Australia","118.73","","","","Small","1","(03) 6229 4111"
"Clinical Services","All Medical Centres","Snug Medical Centre","7 Beach Road, Snug TAS 7054","Nubeena","7054","Tasmania","Australia","123.66","","","","Midsized","5","(03) 6267 9221"
"Clinical Services","All Medical Centres","Tasmanian Family Medical","1-3 Reeve Street, South Burnie TAS 7320","South Burnie","7320","Tasmania","Australia","126.32","","","","Midsized","5","(03) 6432 2222"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Bridport","123 Main Street, Bridport TAS 7262","Bridport","7262","Tasmania","Australia","127.22","","","","Small","1","(03) 6356 1500"
"Clinical Services","All Medical Centres","City Medical Practice Tasmania","Level 1, 10 Marine Terrace, Burnie TAS 7320","Burnie","7320","Tasmania","Australia","127.61","","","","Midsized","7","(03) 6431 6511"
"Clinical Services","All Medical Centres","Aboriginal Health Service","53-55 Alexander Street, Burnie TAS 7320","Burnie","7320","Tasmania","Australia","127.67","","","","Small","2","(03) 6431 3289"
