"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Leigh Creek Medical Service","Shop 9, Black Oak Drive, Leigh Creek SA 5731","Leigh Creek","6510","South Australia","Australia","711.0","Small","1","(08) 8675 2018"
"Clinical Services","All Medical Centres","Streaky Bay Medical Clinic","1 Flinders Drive, Streaky Bay SA 5680","Streaky Bay","5680","South Australia","Australia","782.86","Small","3","(08) 8626 1072"
"Clinical Services","All Medical Centres","Royal Flying Doctor Service","11 Barkly Highway, Mount Isa QLD 4825","Miles End","4825","Queensland","Australia","819.91","Small","1","(07) 4743 2800"
"Clinical Services","All Medical Centres","Mount Isa Medical Centre","71 Camooweal St, Mount Isa QLD 4825","Mount Isa City","4825","Queensland","Australia","820.09","Midsized","6","(07) 4743 3033"
"Clinical Services","All Medical Centres","Leichhardt Medical Centre","13 Isa Street, Mount Isa QLD 4825","Pioneer","4825","Queensland","Australia","821.29","Small","1","(07) 4743 2877"
"Clinical Services","All Medical Centres","Mount Isa GP Super Clinic","2A Ryan Road, Mount Isa QLD 4825","Winston","4825","Queensland","Australia","822.28","Small","2","(07) 4749 5300"
"Clinical Services","All Medical Centres","Wudinna Medical Practice","8 Richards Avenue, Wudinna SA 5652","Wudinna","5652","South Australia","Australia","828.73","Small","1","(08) 8680 2005"
"Clinical Services","All Medical Centres","Kanyaka Surgery","Hospital Road, Quorn SA 5433","Quorn","2852","South Australia","Australia","847.53","Small","1","(08) 8648 6338"
"Clinical Services","All Medical Centres","Ghan Medical Centre","16 Young Street, Port Augusta SA 5700","Port Augusta","5700","South Australia","Australia","847.88","Small","3","(08) 8648 9444"
"Clinical Services","All Medical Centres","Port Augusta Medical Centre","15-19 Gibson Street, Port Augusta SA 5700","Port Augusta","5700","South Australia","Australia","848.16","Small","1","(08) 8641 1055"
"Clinical Services","All Medical Centres","Carlton Medical Centre","90 Carlton Parade, Port Augusta SA 5700","Port Augusta","5700","South Australia","Australia","848.6","Small","1","(08) 8641 0411"
"Clinical Services","All Medical Centres","Pika Wiya Health Service","40-46 Dartmouth Street, Port Augusta SA 5700","Port Augusta","6210","South Australia","Australia","849.0","Small","3","(08) 8642 9999"
"Clinical Services","All Medical Centres","Nunyara Aboringinal Health Service","17-23 Tully Street, Whyalla SA 5600","Whyalla Stuart","5608","South Australia","Australia","889.68","Small","3","(08) 8649 9900"
"Clinical Services","All Medical Centres","McRichie Crescent Clinic","31 McRitchie Crescent, Whyalla Stuart SA 5608","Whyalla Stuart","5608","South Australia","Australia","889.78","Small","1","(08) 8649 1200"
"Clinical Services","All Medical Centres","Flinders Avenue Surgery","Shop 9, 58 Flinders Avenue, Whyalla Stuart SA 5608","Whyalla Stuart","5608","South Australia","Australia","890.36","Small","2","(08) 8649 1182"
"Clinical Services","All Medical Centres","ABC Surgery","39 Viscount Slim Avenue, Whyalla Norrie SA 5608","Whyalla Norrie","5608","South Australia","Australia","890.46","Small","1","(08) 8645 5800"
"Clinical Services","All Medical Centres","Bunyarra Medical Clinic","153 Nicolson Avenue, Whyalla Norrie SA 5608","Whyalla Norrie","5608","South Australia","Australia","891.09","Small","4","(08) 8645 9755"
"Clinical Services","All Medical Centres","Doctors on Norrie","65 Norrie Avenue, Whyalla Norrie SA 5608","Whyalla Norrie","5608","South Australia","Australia","891.38","Small","1","(08) 8317 5577"
"Clinical Services","All Medical Centres","Doctors on Playford","52 Playford Avenue, Whyalla Playford SA 5600","Whyalla","5600","South Australia","Australia","892.5","Small","4","(08) 8644 2500"
"Clinical Services","All Medical Centres","Flinders Medical Centre","Unit 4, 27 Ramsay Street, Cloncurry QLD 4824","Cloncurry","4825","Queensland","Australia","900.02","Midsized","7","(07) 4742 2233"
"Clinical Services","All Medical Centres","Orroroo Medical Centre","23 Second Street, Orroroo SA 5431","Orroroo","5431","South Australia","Australia","912.46","Small","3","(08) 8677 5500"
"Clinical Services","All Medical Centres","Mid Eyre Medical","15 Main Street, Cleve SA 5640","Cleve","2077","South Australia","Australia","924.07","Small","2","(08) 8628 2003"
"Clinical Services","All Medical Centres","Terrace Clinic","138 The Terrace, Port Pirie SA 5540","Port Pirie West","5540","South Australia","Australia","925.59","Small","3","(08) 8632 6700"
"Clinical Services","All Medical Centres","Pirie Medical Centre","45 Gertrude Street, Port Pirie SA 5540","Port Pirie","5540","South Australia","Australia","925.67","Small","2","(08) 8633 2544"
"Clinical Services","All Medical Centres","Central Clinic Port Pirie","101 Florence Street, Port Pirie SA 5540","Port Pirie","5540","South Australia","Australia","925.97","Small","3","(08) 8632 2144"
"Clinical Services","All Medical Centres","Laura District Medical Practice","53-55 Mill Street, Laura SA 5480","Laura","5480","South Australia","Australia","938.89","Midsized","5","(08) 8643 2500"
"Clinical Services","All Medical Centres","Peterborough Medical Centre","23 Hurlstone Street, Peterborough SA 5422","Peterborough","2284","South Australia","Australia","946.45","Midsized","5","(08) 8677 6500"
"Clinical Services","All Medical Centres","Crystal Brook Medical Practice","1 Claridge Road, Crystal Brook SA 5523","South Bunbury","6225","South Australia","Australia","952.31","Midsized","5","(08) 8643 2500"
"Clinical Services","All Medical Centres","Jamestown Medical Centre","66 Irvine Street, Jamestown SA 5491","Jamestown","2262","South Australia","Australia","956.37","Midsized","6","(08) 8664 1078"
"Clinical Services","All Medical Centres","Port Broughton Clinic","22 Bay Street, Port Broughton SA 5522","Port Broughton","6281","South Australia","Australia","964.46","Small","2","(08) 8635 2282"
"Clinical Services","All Medical Centres","Lower Eyre Family Practice","7 Tumby Bay Road, Cummins SA 5631","Cummins","5631","South Australia","Australia","965.66","Small","1","(08) 8676 2210"
"Clinical Services","All Medical Centres","Bay View Medical Services","8 Esplanade, Tumby Bay SA 5605","Tumby Bay","5605","South Australia","Australia","985.45","Midsized","5","(08) 8688 2200"
"Clinical Services","All Medical Centres","Owen Terrace Medical Practice","31 Owen Terrace, Wallaroo SA 5556","Wallaroo","5556","South Australia","Australia","985.57","Small","3","(08) 8823 2002"
"Clinical Services","All Medical Centres","Kadina Medical Associates","77-79 Port Road, Kadina SA 5554","New Town","2216","South Australia","Australia","990.77","Midsized","7","(08) 8821 3133"
"Clinical Services","All Medical Centres","Clare Medical Centre","1 South Terrace, Snowtown SA 5520","Snowtown","5520","South Australia","Australia","994.56","Small","4","(08) 8865 0177"
"Clinical Services","All Medical Centres","Moonta Medical Centre","7/12 Majors Road, Moonta SA 5558","North Moonta","5558","South Australia","Australia","997.47","Small","4","(08) 8825 2309"
"Clinical Services","All Medical Centres","Lower Eyre Family Practice - Coffin Bay Clinic","61 Esplanade, Coffin Bay SA 5607","Coffin Bay","5607","South Australia","Australia","999.96","Small","2","(08) 8676 2210"
"Clinical Services","All Medical Centres","Coffin Bay","153-154 Esplanade, Coffin Bay SA 5607","Coffin Bay","5607","South Australia","Australia","999.98","Small","1","(08) 7078 7801"
"Clinical Services","All Medical Centres","Julia Creek Medical","Lot 2, Hospital Lane, Julia Creek QLD 4823","Julia Creek","4825","Queensland","Australia","1005.33","Small","2","(07) 4746 7159"
"Clinical Services","All Medical Centres","Clare Medical Centre","41 Old North Road, Clare SA 5453","Clare","5453","South Australia","Australia","1016.73","Large","15","(08) 8841 3777"
"Clinical Services","All Medical Centres","Victoria Road Medical Clinic","16 Victoria Road, Clare SA 5453","Clare","5453","South Australia","Australia","1017.09","Small","3","(08) 8842 1000"
"Clinical Services","All Medical Centres","Burra Medical Centre","Market Square, Burra SA 5417","Burra","5417","South Australia","Australia","1017.6","Small","1","(08) 8892 2104"
"Clinical Services","All Medical Centres","Clare Medical Centre","46 Commercial Street, Burra SA 5417","Burra","5417","South Australia","Australia","1017.71","Midsized","6","(08) 8892 2822"
"Clinical Services","All Medical Centres","Boston Bay Family Health Practice","10 New West Road, Port Lincoln SA 5606","Port Lincoln","5606","South Australia","Australia","1017.73","Small","2","(08) 8683 1800"
"Clinical Services","All Medical Centres","ReproMed","The Investigator Clinic, 86 Liverpool Street, Port Lincoln SA 5606","Port Lincoln","5606","South Australia","Australia","1018.31","Small","1","(02) 8333 8111"
"Clinical Services","All Medical Centres","The Investigator Clinic","86 Liverpool Street, Port Lincoln SA 5606","Port Lincoln","5606","South Australia","Australia","1018.31","Midsized","9","(08) 8683 0788"
"Clinical Services","All Medical Centres","Lincoln Medical Centre","10 Haigh Street, Port Lincoln SA 5606","Port Lincoln","5606","South Australia","Australia","1018.8","Small","4","(08) 8682 5133"
"Clinical Services","All Medical Centres","Interhealth Medical","333 Morgan Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1025.05","Small","1","(08) 8087 9383"
"Clinical Services","All Medical Centres","Broken Hill GP Super Clinic","235 Thomas Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1025.22","Midsized","7","(08) 8088 7044"
"Clinical Services","All Medical Centres","Williams Street Surgery","139 Williams Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1025.34","Small","2","(08) 8087 5522"
"Clinical Services","All Medical Centres","Winton Medical Practice","Cnr Oondooroo & Blomfield Streets, Winton QLD 4735","Winton","4735","Queensland","Australia","1026.42","Small","1","(07) 4657 1337"
"Clinical Services","All Medical Centres","Nachiappan Surgery","4 Chloride Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1026.7","Small","4","(08) 8087 3620"
"Clinical Services","All Medical Centres","Maari Ma Primary Health","439-443 Argent Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1026.75","Small","4","(08) 8082 9777"
"Clinical Services","All Medical Centres","South Medical Centre","202-210 Patton Street, Broken Hill NSW 2880","Broken Hill","2880","New South Wales","Australia","1027.88","Small","1","(08) 8088 3350"
"Clinical Services","All Medical Centres","Clive Bishop Medical Centre","Broken Hill Airport, Broken Hill NSW 2880","Como","6152","New South Wales","Australia","1029.74","Small","3","(08) 8080 3780"
"Clinical Services","All Medical Centres","Medical HQ","69 Robert Street, Maitland SA 5573","Maitland","5573","South Australia","Australia","1032.02","Small","4","(08) 8832 2185"
"Clinical Services","All Medical Centres","Wakefield Plains Medical Clinic","10 War Memorial Drive, Balaklava SA 5461","Balaklava","5461","South Australia","Australia","1038.3","Small","4","(08) 8862 1444"
"Clinical Services","All Medical Centres","Medical HQ","10 Second Street, Ardrossan SA 5571","Ardrossan","5571","South Australia","Australia","1046.49","Small","3","(08) 8837 3837"
"Clinical Services","All Medical Centres","Riverton Medical Practice","23 Moorhouse Terrace, Riverton SA 5412","Riverton","5412","South Australia","Australia","1054.38","Small","1","(08) 8847 2382"
"Clinical Services","All Medical Centres","GPs4RuralDocs","Quilpie Medical Practice, 30 Gyrica Street, Quilpie QLD 4480","Quilpie","4560","Queensland","Australia","1065.72","Small","1","(07) 4656 1158"
"Clinical Services","All Medical Centres","Minlaton Medical Centre","7 South Terrace, Minlaton SA 5575","Minlaton","5575","South Australia","Australia","1070.65","Small","1","(08) 7808 4111"
"Clinical Services","All Medical Centres","Hamley Bridge Medical Centre","10 Light Street, Hamley Bridge SA 5401","Hamley Bridge","5401","South Australia","Australia","1070.91","Small","2","(08) 8528 2070"
"Clinical Services","All Medical Centres","Mallala Medical Centre","43 Aerodrome Road, Mallala SA 5502","Mallala","5502","South Australia","Australia","1071.03","Small","2","(08) 8527 2200"
"Clinical Services","All Medical Centres","Kapunda Medical Practice","32 Hill Street, Kapunda SA 5373","Kapunda","5373","South Australia","Australia","1079.38","Small","4","(08) 8566 2900"
"Clinical Services","All Medical Centres","Kapunda","14 South Terrace, Kapunda SA 5373","Kapunda","5373","South Australia","Australia","1079.73","Small","1","(08) 8566 2104"
"Clinical Services","All Medical Centres","Two Wells Medical Clinic","32 Old Mallala Road, Two Wells SA 5501","Two Wells","5501","South Australia","Australia","1086.6","Small","1","(08) 8520 2411"
"Clinical Services","All Medical Centres","Two Wells Family Medical Centre","112 Old Port Wakefield Road, Two Wells SA 5501","Two Wells","5501","South Australia","Australia","1087.05","Small","1","(08) 7190 7977"
"Clinical Services","All Medical Centres","Nuriootpa Medical Centre","6 Memorial Avenue, Nuriootpa SA 5355","Nuriootpa","5355","South Australia","Australia","1095.95","Midsized","8","(08) 8562 2444"
"Clinical Services","All Medical Centres","Virginia Medical Centre","1 Old Port Wakefield Road, Virginia SA 5120","Virginia","5115","South Australia","Australia","1096.28","Midsized","9","(08) 8380 9145"
"Clinical Services","All Medical Centres","Yorketown Medical Practice","21 Waterloo Bay Road, Yorketown SA 5576","Yorketown","5051","South Australia","Australia","1096.61","Small","2","(08) 8852 1002"
"Clinical Services","All Medical Centres","Hyde & Partners Medical Centre","1 Light Square, Gawler SA 5118","Gawler","5118","South Australia","Australia","1097.17","Midsized","10","(08) 8522 3444"
"Clinical Services","All Medical Centres","Murray Street Medical Centre","Shop 1, 75 Murray Street, Gawler SA 5118","Gawler","5118","South Australia","Australia","1097.62","Small","2","(08) 8522 2294"
"Clinical Services","All Medical Centres","Gawler GP Access After Hours Clinic","Shop 2, 75 Murray Street, Gawler SA 5118","Gawler","5118","South Australia","Australia","1097.62","Small","2","(08) 8522 3877"
"Clinical Services","All Medical Centres","Angle Vale Family Practice","Shop 18, 121-129 Heaslip Road, Angle Vale SA 5117","Angle Vale","5117","South Australia","Australia","1097.73","Small","3","(08) 8284 8388"
"Clinical Services","All Medical Centres","Dr Naomi Rutten Mental Health GP","11B Adelaide Road, Gawler South SA 5118","Gawler South","5118","South Australia","Australia","1097.93","Small","1","0411 562 273"
"Clinical Services","All Medical Centres","Gawler Medical Clinic","2b Murray Street, Gawler SA 5118","Gawler","5118","South Australia","Australia","1097.98","Midsized","9","(08) 8522 1844"
"Clinical Services","All Medical Centres","Adelaide Road Clinic","25 Adelaide Road, Gawler South SA 5118","Gawler South","5118","South Australia","Australia","1098.0","Midsized","8","(08) 8522 1466"
"Clinical Services","All Medical Centres","Springwood Family Medical","Shop 10, 49-51 Cheek Avenue, Gawler East SA 5118","Gawler East","5118","South Australia","Australia","1098.06","Small","3","(08) 8523 1880"
"Clinical Services","All Medical Centres","Springwood Doctors","Springwood Place Shopping Centre, Shop no. B02, 4 Mullamar Way, Gawler East SA 5118","Gawler East","5118","South Australia","Australia","1099.14","Small","1","(08) 8522 4933"
"Clinical Services","All Medical Centres","Tanunda Medical Centre","13 Mill Street, Tanunda SA 5352","Tanunda","5352","South Australia","Australia","1099.77","Large","14","(08) 8563 2777"
"Clinical Services","All Medical Centres","Angaston Medical Centre","46 Murray Street, Angaston SA 5353","Angaston","5353","South Australia","Australia","1101.1","Large","11","(08) 8564 2266"
"Clinical Services","All Medical Centres","Health on Washington","3-7 Fife Street, Angaston SA 5353","Angaston","5353","South Australia","Australia","1101.24","Midsized","6","(08) 8564 2266"
"Clinical Services","All Medical Centres","Playford Family Medical","Shop 16, 297 Peachey Road, Munno Para SA 5115","Munno Para West","5115","South Australia","Australia","1101.65","Midsized","9","(08) 8284 0010"
"Clinical Services","All Medical Centres","Unihealth Playford SuperClinic","250-252 Curtis Road, Munno Para SA 5115","Munno Para West","5115","South Australia","Australia","1101.79","Large","12","(08) 8254 4500"
"Clinical Services","All Medical Centres","Eyre Family Medical","Shop 12-14, Eyre Village Shopping Centre, 495 Steboneath Road, Penfield SA 5121","Elizabeth Downs","5121","South Australia","Australia","1102.56","Small","4","(08) 8284 9804"
"Clinical Services","All Medical Centres","Fields Medical Centre","43 Whitington Road, Davoren Park SA 5113","Davoren Park","5113","South Australia","Australia","1102.75","Small","2","(08) 8254 2855"
"Clinical Services","All Medical Centres","GPaxis Munno Para","14 Anderson Walk, Smithfield SA 5114","Smithfield","5113","South Australia","Australia","1103.14","Midsized","5","(08) 8254 7700"
"Clinical Services","All Medical Centres","Allcare Blakes Crossing","2 Mansfield Parade, Blakeview SA 5114","Blakeview","5114","South Australia","Australia","1103.56","Small","1","(08) 7078 4566"
"Clinical Services","All Medical Centres","Blakeview Medical Centre","8 Main North Road, Blakeview SA 5114","Blakeview","5114","South Australia","Australia","1103.62","Midsized","5","(08) 8254 6888"
"Clinical Services","All Medical Centres","Munno Para Family Medical","Munno Para Shopping City, Shop 1-4, 600 Main North Road, Smithfield SA 5114","Smithfield","5114","South Australia","Australia","1103.67","Midsized","9","(08) 8284 5588"
"Clinical Services","All Medical Centres","Longreach Family Medical Practice","Level 1, 109 Eagle Street, Longreach QLD 4730","Longreach","4730","Queensland","Australia","1103.76","Small","4","(07) 4658 3866"
"Clinical Services","All Medical Centres","Positive Mind Works (Nationwide Telehealth Services)","Positive Mind Works, Longreach QLD 4730","Longreach","4730","Queensland","Australia","1103.98","Small","1","(02) 8294 8445"
"Clinical Services","All Medical Centres","Elizabeth North Clinic","119 Woodford Road, Elizabeth North SA 5113","Elizabeth North","5113","South Australia","Australia","1104.81","Small","2","(08) 8255 3355"
"Clinical Services","All Medical Centres","Hamblynn Medical Centre","19 Hamblynn Road, Elizabeth Downs SA 5113","Elizabeth Downs","5113","South Australia","Australia","1104.97","Small","3","(08) 8255 1535"
"Clinical Services","All Medical Centres","Burton","Shop 2 382-396 Waterloo Corner Road, Burton SA 5110","Burton","5112","South Australia","Australia","1105.42","Small","1","(08) 8280 3650"
"Clinical Services","All Medical Centres","Springbank Medical Centre","Shop 2, Springbank Plaza Shopping Centre, 382-396 Waterloo Corner Road, Burton SA 5110","Burton","5112","South Australia","Australia","1105.42","Small","4","(08) 8280 3650"
"Clinical Services","All Medical Centres","Parks Medical Centre","39 Tolmer Road, Elizabeth Park SA 5113","Elizabeth Park","5113","South Australia","Australia","1105.57","Small","3","(08) 8255 2688"
"Clinical Services","All Medical Centres","Elizabeth Family Health Care","GP Plus Health Care Centre, 16 Playford Boulevard, Elizabeth SA 5112","Elizabeth","5606","South Australia","Australia","1105.83","Small","4","(08) 7485 4116"
"Clinical Services","All Medical Centres","HMS North Haven Surgery","1 Osborne Road, North Haven SA 5018","North Haven","5018","South Australia","Australia","1105.9","Midsized","6","(08) 8341 8433"
"Clinical Services","All Medical Centres","Elizabeth Medical & Dental Centre","30 Phillip Highway, Elizabeth SA 5112","Elizabeth","5112","South Australia","Australia","1106.29","Midsized","9","(08) 8256 8000"
"Clinical Services","All Medical Centres","Elizabeth","Suite 4A, 25 Philip Highway, Elizabeth SA 5112","Elizabeth","5112","South Australia","Australia","1106.34","Small","1","(08) 8255 8049"
"Clinical Services","All Medical Centres","Craigmore Family Practice","Craigmore Village Shopping Centre, 170-190 Yorktown Road, Craigmore SA 5114","Craigmore","5113","South Australia","Australia","1106.49","Midsized","10","(08) 8255 1999"
"Clinical Services","All Medical Centres","Whites Road Medical Centre","127 Whites Road, Salisbury North SA 5108","Salisbury North","5108","South Australia","Australia","1106.87","Midsized","7","(08) 8258 8988"
"Clinical Services","All Medical Centres","Dr Lok's Surgery","100 Philip Highway, Elizabeth South SA 5112","Elizabeth South","5112","South Australia","Australia","1107.02","Small","2","(08) 8252 2992"
"Clinical Services","All Medical Centres","Nunkuwarrin Yunti","220-224 Waterloo Corner Road, Paralowie SA 5108","Paralowie","5108","South Australia","Australia","1107.04","Midsized","7","(08) 8254 5300"
"Clinical Services","All Medical Centres","Phan Medical & Dental","180 Burton Road, Paralowie SA 5108","Paralowie","5108","South Australia","Australia","1107.18","Small","1","(08) 8281 2955"
"Clinical Services","All Medical Centres","Midway Medical Clinic","Suite 1, 55 Spruance Road, Elizabeth East SA 5112","Elizabeth East","5112","South Australia","Australia","1107.25","Small","1","(08) 8255 2488"
"Clinical Services","All Medical Centres","Elizabeth Grove Surgery","2 Burgate Street, Elizabeth Grove SA 5112","Elizabeth Grove","5112","South Australia","Australia","1107.64","Small","1","(08) 8255 2166"
"Clinical Services","All Medical Centres","Health Matters Medical Centre","337 Whites Road, Paralowie SA 5108","Paralowie","5108","South Australia","Australia","1107.8","Midsized","7","(08) 8285 8888"
"Clinical Services","All Medical Centres","Trinity Medical Centre","31 Bagster Road, Salisbury North SA 5108","Salisbury North","5108","South Australia","Australia","1107.88","Midsized","9","(08) 8258 1677"
"Clinical Services","All Medical Centres","HMS Taperoo Surgery","365 Victoria Road, Taperoo SA 5017","Taperoo","5017","South Australia","Australia","1108.17","Small","4","(08) 8341 8122"
"Clinical Services","All Medical Centres","Re:You","10 Oldham Road, Elizabeth Vale SA 5112","Elizabeth Vale","5112","South Australia","Australia","1108.33","Midsized","5","(08) 8448 1915"
"Clinical Services","All Medical Centres","Harmonie Medical Clinic","139-141 Winzor Street, Salisbury SA 5108","Salisbury Downs","5108","South Australia","Australia","1108.77","Small","2","(08) 8281 1688"
"Clinical Services","All Medical Centres","Corporate Health Group","44 John Rice Avenue, Elizabeth Vale SA 5112","Elizabeth Vale","5112","South Australia","Australia","1108.78","Small","4","(08) 8354 9800"
"Clinical Services","All Medical Centres","Salisbury Downs","Sh 105b Hollywood Plaza, Salisbury Downs SA 5108","Salisbury Downs","5109","South Australia","Australia","1108.88","Small","4","(08) 8180 0733"
"Clinical Services","All Medical Centres","Salisbury House Medical & Dental Centre","16-20 Gawler Street, Salisbury SA 5108","Salisbury","5108","South Australia","Australia","1109.03","Small","1","(08) 8250 3222"
"Clinical Services","All Medical Centres","Salisbury Medical Hub","16 John Street, Salisbury SA 5108","Salisbury","5108","South Australia","Australia","1109.21","Small","4","(08) 8258 1732"
"Clinical Services","All Medical Centres","Pro Health Care","1 Park Terrace, Salisbury SA 5108","Salisbury","5108","South Australia","Australia","1109.22","Midsized","9","(08) 8258 2558"
"Clinical Services","All Medical Centres","Salisbury Child & Youth Health","23 Wiltshire Street, Salisbury SA 5108","Salisbury","5108","South Australia","Australia","1109.35","Small","1","(08) 8182 0000"
"Clinical Services","All Medical Centres","Martins Road Family Medical Practice","Shop 11, 237 Martins Road, Parafield Gardens SA 5107","Parafield Gardens","5107","South Australia","Australia","1109.5","Midsized","10","(08) 8283 4411"
"Clinical Services","All Medical Centres","Parafield Gardens","237 Martins Road, Parafield Gardens SA 5107","Parafield Gardens","5107","South Australia","Australia","1109.55","Small","1","(08) 8283 4411"
"Clinical Services","All Medical Centres","El Shaddai Family Practice Salisbury","53 Park Terrace, Salisbury SA 5108","Salisbury","5108","South Australia","Australia","1109.56","Small","1","(08) 8346 6292"
"Clinical Services","All Medical Centres","Europa Medical Centre","287 Salisbury Highway, Salisbury Downs SA 5108","Salisbury Downs","5108","South Australia","Australia","1110.01","Midsized","5","(08) 8258 9103"
"Clinical Services","All Medical Centres","Skin Doctor SA","15 Semaphore Road, Semaphore SA 5019","Semaphore","5019","South Australia","Australia","1110.09","Small","2","(08) 8449 2002"
"Clinical Services","All Medical Centres","Salisbury Family Medical Centre","42 Amsterdam Crescent, Salisbury Downs SA 5108","Salisbury Downs","5108","South Australia","Australia","1110.31","Small","2","(08) 8281 2777"
"Clinical Services","All Medical Centres","Cross Keys Medical Centre","52 Cross Key Road, Brahma Lodge SA 5109","Brahma Lodge","5109","South Australia","Australia","1110.46","Midsized","7","(08) 8258 4736"
"Clinical Services","All Medical Centres","SpringLife Medical Centre","108A Semaphore Road, Semaphore SA 5019","Semaphore","5013","South Australia","Australia","1110.51","Small","2","(08) 8449 6858"
"Clinical Services","All Medical Centres","Dr David Sim Surgery","23 Catalina Avenue, Parafield Gardens SA 5107","Parafield Gardens","5107","South Australia","Australia","1110.53","Small","1","(08) 8258 1137"
"Clinical Services","All Medical Centres","Salisbury Family Care","Saints Shopping Centre, T19/83 Saints Road, Salisbury Plain SA 5109","Salisbury Plain","5109","South Australia","Australia","1110.62","Small","2","(08) 8180 2100"
"Clinical Services","All Medical Centres","Williamstown Medical Clinic","27 Queen Street, Williamstown SA 5351","Williamstown","5115","South Australia","Australia","1110.68","Small","2","(08) 8524 6122"
"Clinical Services","All Medical Centres","Parafield Gardens Family Medical Practice","463 Salisbury Highway, Parafield Gardens SA 5107","Parafield Gardens","5107","South Australia","Australia","1110.77","Small","1","(08) 8250 5303"
"Clinical Services","All Medical Centres","Salisbury Heights Surgery","15 The Grove Way, Salisbury Heights SA 5109","Salisbury Heights","5109","South Australia","Australia","1110.77","Small","4","(08) 8258 2878"
"Clinical Services","All Medical Centres","Wellcare Medical Clinic","486 Salisbury Highway, Parafield Gardens SA 5107","Parafield Gardens","5125","South Australia","Australia","1110.86","Small","3","(08) 8258 2942"
"Clinical Services","All Medical Centres","HMS Port Adelaide Surgery","Duncan House, 19 Robe Street, Port Adelaide SA 5015","Port Adelaide","5015","South Australia","Australia","1111.58","Small","3","(08) 8447 4422"
"Clinical Services","All Medical Centres","Madison Park Family Medical Practice","Unit 10, 45 Gloucester Avenue, Salisbury East SA 5109","Salisbury East","5109","South Australia","Australia","1111.59","Small","1","(08) 8182 5700"
"Clinical Services","All Medical Centres","EBM Family Medical Practice","Shop 1, 3 Coventry Street, Mawson Lakes SA 5095","Mawson Lakes","5095","South Australia","Australia","1111.64","Small","3","(08) 8258 1115"
